Wilayah;Kode Kecamatan;Kecamatan;NamaTaman;Alamat;Luas (m2);Data Tahun
Bojonegara;327301;Sukasari;Taman Gegerkalong/Setiabudhi;Jl. Setiabudhi;1528;2017
Bojonegara;327301;Sukasari;Taman Sukajadi/Setiabudhi;Jl. Setiabudhi;76903;2017
Bojonegara;327301;Sukasari;Taman Setiabudhi/Karang Sari;Jl. Setiabudhi;66135;2017
Bojonegara;327301;Sukasari;Taman Batas Kota Setiabudhi;Jl. Setiabudhi;350;2017
Bojonegara;327301;Sukasari;Taman Pintu Gerbang;Jl. Cijerokaso ;57405;2017
Bojonegara;327301;Sukasari;Taman Batu;Jl. Cijerokaso ;299033;2017
Bojonegara;327301;Sukasari;Taman WTP (Groun TankI);Jl. Cijerokaso ;552;2017
Bojonegara;327301;Sukasari;Taman Kav. 10 - Jembatan 1;Jl. Cijerokaso ;7448;2017
Bojonegara;327301;Sukasari;Taman Play Ground I;Jl. Cijerokaso ;46491;2017
Bojonegara;327301;Sukasari;Taman Play Ground II;Jl. Cijerokaso ;36175;2017
Bojonegara;327301;Sukasari;Taman Kav. 68 - 69;Jl. Cijerokaso ;209;2017
Bojonegara;327301;Sukasari;Taman Blok F;Jl. Cijerokaso ;18618;2017
Bojonegara;327301;Sukasari;Taman Sebrang F. 07;Jl. Cijerokaso ;5375;2017
Bojonegara;327301;Sukasari;Taman Kav. 79;Jl. Cijerokaso ;8875;2017
Bojonegara;327301;Sukasari;Taman Kav. 88 - 106;Jl. Cijerokaso ;9575;2017
Bojonegara;327301;Sukasari;Taman Parkir;Jl. Cijerokaso ;116212;2017
Bojonegara;327301;Sukasari;Taman Masjid dan Masjid;Jl. Cijerokaso ;95654;2017
Bojonegara;327301;Sukasari;Lapang Basket dan Ground Tank II;Jl. Cijerokaso ;76274;2017
Bojonegara;327301;Sukasari;Lapangan Tenis;Jl. Cijerokaso ;165342;2017
Bojonegara;327301;Sukasari;Taman Lansia Komplek KPAD Gegerkalong;Komplek KPAD Gegerkalong;510;2017
Bojonegara;327301;Sukasari;Jalur Raya Komplek KPAD;Komplek KPAD Gegerkalong;12900;2017
Bojonegara;327301;Sukasari;Lapangan Olahraga Komplek KPAD Gegerkalong;Komplek KPAD Gegerkalong;20150;2017
Bojonegara;327301;Sukasari;Taman Anak Komplek KPAD Gegerkalong;Komplek KPAD Gegerkalong;2007;2017
Bojonegara;327307;Sukajadi;Taman Sukajadi/Cemara;Jl. Sukajadi;395;2017
Bojonegara;327307;Sukajadi;Taman Angklung;Jl. Sukajadi;182352;2017
Bojonegara;327307;Sukajadi;Taman Sukajadi/Eykman;Jl. Sukajadi;173344;2017
Bojonegara;327307;Sukajadi;Taman Setiabudhi/Cipaganti;Jl. Dr. Setiabudi;15297;2017
Bojonegara;327307;Sukajadi;Taman Setiabudhi/Sindang Sirna;Jl. Sukajadi;972;2017
Bojonegara;327307;Sukajadi;Taman Sukajadi/Karangtineung;Jl. Sukajadi;19405;2017
Bojonegara;327307;Sukajadi;Taman Pulau Jl. Setiabudhi - Jl. Sukajadi;Jl. Setiabudhi -Jl. Sukajadi;79609;2017
Bojonegara;327307;Sukajadi;Taman Sukajadi/Karangtinggal;Jl. Sukajadi;250;2017
Bojonegara;327307;Sukajadi;Taman Sukajadi/Sukamaju;Jl. Sukajadi;200;2017
Bojonegara;327307;Sukajadi; Pulau Jalan Pasirkaliki/Pasteur;Jl. Sukajadi;8956;2017
Bojonegara;327307;Sukajadi;Taman Sukarasa;Jl. Sukarasa;500;2017
Bojonegara;327307;Sukajadi;Taman Setra Ria;Jl. Setra Ria;49;2017
Bojonegara;327307;Sukajadi;Taman Perumnas Sarijadi; Perumanas SarijadiBlok 5, 7,9,13,15 dan 24;7447;2017
Bojonegara;327307;Sukajadi;Taman Pro. Eykman/Makmur;Jl. Eykman;790;2017
Bojonegara;327307;Sukajadi;Taman Sukajadi/Panglayungan;Jl. Sukajadi;269908;2017
Bojonegara;327307;Sukajadi;Lapang Voli Perumahan Sukamulya Indah;Komplek Perumahan Sukamulya Indah;408;2017
Bojonegara;327307;Sukajadi;Taman Sukagalih;Jl. Sukagalih (depan Kelurahan);99;2017
Bojonegara;327307;Sukajadi;Jalur HijauJalur Bungur;Jl. Bungur;264;2017
Bojonegara;327307;Sukajadi;Taman Sudut Pasirkaliki 1;Jl. Pasteur;59331;2017
Bojonegara;327307;Sukajadi;Taman Sudut Pasirkaliki 2;Jl. Pasirkaliki;536;2017
Bojonegara;327307;Sukajadi;Taman Sukamulya/Pasteur;Jl. Pasirkaliki;78252;2017
Bojonegara;327307;Sukajadi;Taman Surya Sumantri;Jl. Surya Sumantri / Dr. Junjunan;9832;2017
Bojonegara;327307;Sukajadi;Taman Sukamulya Bunderan;Jl. Pasteur;3785;2017
Bojonegara;327307;Sukajadi;Jalur Dr. Djundjunan;Jl. Dr. Djundjunan -Jl. Suria Sumantri;625856;2017
Bojonegara;327307;Sukajadi;Taman Eks SPBU Sukajadi;Jl. Pasteur;425103;2017
Bojonegara;327307;Sukajadi;Lapangan ABRA;Jl. Cipedes;1496638;2017
Bojonegara;327307;Sukajadi;Jalur Pasteur I;Jl. Pasteur;900;2017
Bojonegara;327307;Sukajadi;Jalur Pasteur I;Jl. Pasteur;49525;2017
Bojonegara;327307;Sukajadi;Taman Tenteram;Jl. Tenteram;3656;2017
Bojonegara;327306;Cicendo;Taman Patung Husein;Jl. Padjadjaran;51825;2017
Bojonegara;327306;Cicendo;Taman Dr. Rajiman;Jl. Dr. Rajiman;8955;2017
Bojonegara;327306;Cicendo;Taman Dr. Otten 1;Jl. Dr. Otten;317108;2017
Bojonegara;327306;Cicendo;Taman Dr. Otten 2;Jl. Dr. Otten;58;2017
Bojonegara;327306;Cicendo;Pulau Jalan Westhcoop I;Jl. Dr. Otten;18306;2017
Bojonegara;327306;Cicendo;Pulau Jalan Westhcoop II;Jl. Dr. Otten;1375;2017
Bojonegara;327306;Cicendo;Taman Curie;Jl. Dr. Curie;97404;2017
Bojonegara;327306;Cicendo;Taman Erligh;Jl. Dr. Erligh;391;2017
Bojonegara;327306;Cicendo;Taman Abdul Riva'i;Jl. Abdul Riva'I;6717;2017
Bojonegara;327306;Cicendo;Taman Dr. Cipto;Jl. Pajajaran;170918;2017
Bojonegara;327306;Cicendo;Taman Pandu/Padjadjaran;Jl. Pajajaran;8225;2017
Bojonegara;327306;Cicendo;Taman Monumen KTT Non Blok;Jl. Pajajaran;152673;2017
Bojonegara;327306;Cicendo;Taman Abd. Rachman Saleh ;Jl. Abd. Rachman Saleh;195906;2017
Bojonegara;327306;Cicendo;Taman Supadio I;Jl. Abd. Rachman Saleh;85875;2017
Bojonegara;327306;Cicendo;Taman Supadio II;Jl. Abd. Rachman Saleh;4315;2017
Bojonegara;327306;Cicendo;Taman Nurtanio (Jalur);Jl. Nurtanio/Garuda;56775;2017
Bojonegara;327306;Cicendo;Taman Adipura;Jl. Padjajaran;18653;2017
Bojonegara;327306;Cicendo;Taman Sudut Kebon Kawung/Pasirkaliki;Jl. Kebon Kawung/Pasirkaliki;3627;2017
